Paper_Name,Year,Citation_Number,Type
Determining Occlusions from Space and Time Image Reconstructions,2016,13,Poster
Online Multi-object Tracking via Structural Constraint Event Aggregation,2016,207,Poster
Staple: Complementary Learners for Real-Time Tracking,2016,1947,Poster
Robust Optical Flow Estimation of Double-Layer Images under Transparency or Reflection,2016,50,Poster
Siamese Instance Search for Tracking,2016,1201,Poster
Adaptive Decontamination of the Training Set: A Unified Formulation for Discriminative Visual Tracking,2016,465,Poster
3D Part-Based Sparse Tracker with Automatic Synchronization and Registration,2016,72,Poster
Recurrently Target-Attending Tracking,2016,178,Poster
Structured Regression Gradient Boosting,2016,5,Poster
Loss Functions for Top-k Error: Analysis and Insights,2016,89,Poster
Metric Learning as Convex Combinations of Local Models with Generalization Guarantees,2016,14,Poster
Efficient Training of Very Deep Neural Networks for Supervised Hashing,2016,132,Poster
Information Bottleneck Learning Using Privileged Information for Visual Recognition,2016,66,Poster
3D Action Recognition from Novel Viewpoints,2016,209,Oral
3D Shape Attributes,2016,32,Oral
Three-Dimensional Object Detection and Layout Prediction Using Clouds of Oriented Gradients,2016,149,Oral
3D Semantic Parsing of Large-Scale Indoor Spaces,2016,1373,Oral
Dense Human Body Correspondences Using Convolutional Networks,2016,228,Oral
Geometry-Informed Material Recognition,2016,58,Spotlight
Towards Open Set Deep Networks,2016,1155,Spotlight
What's Wrong with That Object? Identifying Images of Unusual Objects by Modelling the Detection Score Distribution,2016,14,Spotlight
Large-Scale Location Recognition and the Geometric Burstiness Problem,2016,163,Spotlight
Regularity-Driven Building Facade Matching between Aerial and Street Views,2016,41,Spotlight
Do Computational Models Differ Systematically from Human Object Perception,2016,39,Spotlight
Contour Detection in Unstructured 3D Point Clouds,2016,168,Oral
Unsupervised Learning of Edges,2016,109,Oral
Blind Image Deblurring Using Dark Channel Prior,2016,764,Oral
Deeply-Recursive Convolutional Network for Image Super-Resolution,2016,2741,Oral
Accurate Image Super-Resolution Using Very Deep Convolutional Networks,2016,6515,Oral
RAW Image Reconstruction Using a Self-Contained sRGB-JPEG Image with Only 64 KB Overhead,2016,37,Spotlight
Group MAD Competition? A New Methodology to Compare Objective Image Quality Models,2016,104,Spotlight
Non-local Image Dehazing,2016,1270,Spotlight
A Holistic Approach to Cross-Channel Image Noise Modeling and Its Application to Image Denoising,2016,208,Spotlight
Multispectral Images Denoising by Intrinsic Tensor Sparsity Regularization,2016,233,Spotlight
A Comparative Study for Single Image Blind Deblurring,2016,414,Spotlight
Spatiotemporal Bundle Adjustment for Dynamic 3D Reconstruction,2016,67,Poster
Inextensible Non-Rigid Shape-from-Motion by Second-Order Cone Programming,2016,30,Poster
Optimal Relative Pose with Unknown Correspondences,2016,20,Poster
Homography Estimation from the Common Self-Polar Triangle of Separate Ellipses,2016,12,Poster
Heterogeneous Light Fields,2016,13,Poster
A Consensus-Based Framework for Distributed Bundle Adjustment,2016,72,Poster
Globally Optimal Manhattan Frame Estimation in Real-Time,2016,25,Poster
Mirror Surface Reconstruction under an Uncalibrated Camera,2016,3,Poster
A Hole Filling Approach Based on Background Reconstruction for View Synthesis in 3D Video,2016,66,Poster
A Direct Least-Squares Solution to the PnP Problem with Unknown Focal Length,2016,24,Poster
Efficient Intersection of Three Quadrics and Applications in Computer Vision,2016,48,Poster
Using Spatial Order to Boost the Elimination of Incorrect Feature Matches,2016,6,Poster
A Probabilistic Framework for Color-Based Point Set Registration,2016,47,Poster
Blind Image Deconvolution by Automatic Gradient Activation,2016,79,Poster
PSyCo: Manifold Span Reduction for Super Resolution,2016,56,Poster
Parametric Object Motion from Blur,2016,27,Poster
Image Deblurring Using Smartphone Inertial Sensors,2016,40,Poster
Seven Ways to Improve Example-Based Single Image Super Resolution,2016,458,Poster
Real-Time Single Image and Video Super-Resolution Using an Efficient Sub-Pixel Convolutional Neural Network,2016,5461,Poster
They are Not Equally Reliable: Semantic Event Search Using Differentiated Concept Classifiers,2016,37,Poster
Going Deeper into First-Person Activity Recognition,2016,363,Poster
Cascaded Interactional Targeting Network for Egocentric Video Analysis,2016,55,Poster
Fast Temporal Activity Proposals for Efficient Detection of Human Actions in Untrimmed Videos,2016,304,Poster
Discriminative Hierarchical Rank Pooling for Activity Recognition,2016,145,Poster
Convolutional Two-Stream Network Fusion for Video Action Recognition,2016,3002,Poster
Learning Activity Progression in LSTMs for Activity Detection and Early Detection,2016,434,Poster
VLAD3: Encoding Dynamics of Deep Features for Action Recognition,2016,96,Poster
A Multi-stream Bi-directional Recurrent Neural Network for Fine-Grained Action Detection,2016,509,Poster
A Hierarchical Deep Temporal Model for Group Activity Recognition,2016,475,Poster
A Hierarchical Pose-Based Approach to Complex Action Understanding Using Dictionaries of Actionlets and Motion Poselets,2016,60,Poster
A Key Volume Mining Deep Framework for Action Recognition,2016,290,Poster
Improved Hamming Distance Search Using Variable Length Hashing,2016,29,Poster
Shortlist Selection with Residual-Aware Distance Estimator for K-Nearest Neighbor Search,2016,13,Poster
Supervised Quantization for Similarity Search,2016,81,Poster
Efficient Large-Scale Approximate Nearest Neighbor Search on the GPU,2016,69,Poster
Collaborative Quantization for Cross-Modal Similarity Search,2016,61,Poster
Aggregating Image and Text Quantized Correlated Components,2016,24,Poster
Efficient Indexing of Billion-Scale Datasets of Deep Descriptors,2016,186,Poster
Deep Supervised Hashing for Fast Image Retrieval,2016,874,Poster
Efficient Large-Scale Similarity Search Using Matrix Factorization,2016,24,Poster
Incremental Object Discovery in Time-Varying Image Collections,2016,1,Poster
Detecting Migrating Birds at Night,2016,4,Poster
When Naïve Bayes Nearest Neighbors Meet Convolutional Neural Networks,2016,33,Poster
Traffic-Sign Detection and Classification in the Wild,2016,799,Poster
Large Scale Semi-Supervised Object Detection Using Visual and Semantic Knowledge Transfer,2016,150,Poster
Exploit All the Layers: Fast and Accurate CNN Object Detector with Scale Dependent Pooling and Cascaded Rejection Classifiers,2016,655,Poster
Dictionary Pair Classifier Driven Convolutional Neural Networks for Object Detection,2016,47,Poster
Monocular 3D Object Detection for Autonomous Driving,2016,955,Poster
How Hard Can It Be? Estimating the Difficulty of Visual Search in an Image,2016,123,Poster
Deep Relative Distance Learning: Tell the Difference between Similar Vehicles,2016,715,Poster
Eye Tracking for Everyone,2016,883,Poster
Efficient Globally Optimal 2D-to-3D Deformable Shape Matching,2016,26,Poster
Ambiguity Helps: Classification with Disagreements in Crowdsourced Annotations,2016,34,Poster
A Task-Oriented Approach for Cost-Sensitive Recognition,2016,4,Poster
Refining Architectures of Deep Convolutional Neural Networks,2016,36,Poster
iLab-20M: A Large-Scale Controlled Object Dataset to Investigate Deep Learning,2016,78,Poster
Recursive Recurrent Nets with Attention Modeling for OCR in the Wild,2016,506,Poster
Deep Decision Network for Multi-class Image Classification,2016,101,Poster
Less is More: Zero-Shot Learning from Online Textual Documents with Noise Suppression,2016,209,Poster
Fast Algorithms for Linear and Kernel SVM+,2016,61,Poster
Hierarchically Gated Deep Networks for Semantic Segmentation,2016,80,Oral
Deep Structured Scene Parsing by Learning with Image Descriptions,2016,37,Oral
CNN-RNN: A Unified Framework for Multi-label Image Classification,2016,1317,Oral
Walk and Learn: Facial Attribute Representation Learning from Egocentric Video and Contextual Data,2016,128,Oral
CNN-N-Gram for HandwritingWord Recognition,2016,207,Oral
Synthetic Data for Text Localisation in Natural Images,2016,1415,Spotlight
End-to-End People Detection in Crowded Scenes,2016,530,Spotlight
Real-Time Salient Object Detection with a Minimum Spanning Tree,2016,311,Spotlight
Local Background Enclosure for RGB-D Salient Object Detection,2016,209,Spotlight
Adaptive Object Detection Using Adjacency and Zoom Prediction,2016,88,Spotlight
Semantic Channels for Fast Pedestrian Detection,2016,80,Spotlight
G-CNN: An Iterative Grid Based Object Detector,2016,223,Spotlight
Recurrent Face Aging,2016,203,Oral
Face2Face: Real-Time Face Capture and Reenactment of RGB Videos,2016,1750,Oral
Self-Adaptive Matrix Completion for Heart Rate Estimation from Face Videos under Realistic Conditions,2016,314,Oral
Visually Indicated Sounds,2016,380,Oral
Image Style Transfer Using Convolutional Neural Networks,2016,5151,Oral
Patch-Based Convolutional Neural Network for Whole Slide Tissue Image Classification,2016,750,Spotlight
Hedgehog Shape Priors for Multi-Object Segmentation,2016,29,Spotlight
Latent Variable Graphical Model Selection Using Harmonic Analysis: Applications to the Human Connectome Project (HCP),2016,6,Spotlight
Simultaneous Estimation of Near IR BRDF and Fine-Scale Surface Geometry,2016,21,Spotlight
Do It Yourself Hyperspectral Imaging with Everyday Digital Cameras,2016,91,Spotlight
Automatic Content-Aware Color and Tone Stylization,2016,77,Spotlight
Combining Markov Random Fields and Convolutional Neural Networks for Image Synthesis,2016,760,Spotlight
DCAN: Deep Contour-Aware Networks for Accurate Gland Segmentation,2016,621,Poster
Learning to Read Chest X-Rays: Recurrent Neural Cascade Model for Automated Image Annotation,2016,362,Poster
Conformal Surface Alignment with Optimal Möbius Search,2016,9,Poster
Coupled Harmonic Bases for Longitudinal Characterization of Brain Networks,2016,7,Poster
Automating Carotid Intima-Media Thickness Video Interpretation with Convolutional Neural Networks,2016,65,Poster
Context Encoders: Feature Learning by Inpainting,2016,5358,Poster
Comparative Deep Learning of Hybrid Representations for Image Recommendations,2016,125,Poster
Fast ConvNets Using Group-Wise Brain Damage,2016,495,Poster
Learning to Co-Generate Object Proposals with a Deep Structured Network,2016,17,Poster
DeepFool: A Simple and Accurate Method to Fool Deep Neural Networks,2016,4783,Poster
Blockout: Dynamic Model Selection for Hierarchical Deep Networks,2016,60,Poster
FireCaffe: Near-Linear Acceleration of Deep Neural Network Training on Compute Clusters,2016,360,Poster
MDL-CW: A Multimodal Deep Learning Framework with CrossWeights,2016,56,Poster
Structured Receptive Fields in CNNs,2016,103,Poster
First Person Action Recognition Using Deep Learned Descriptors,2016,229,Poster
Recognizing Micro-Actions and Reactions from Paired Egocentric Videos,2016,84,Poster
Mining 3D Key-Pose-Motifs for Action Recognition,2016,99,Poster
Predicting the Where and What of Actors and Actions through Online Action Localization,2016,85,Poster
Actions ~ Transformations,2016,319,Poster
Visual Path Prediction in Complex Scenes with Crowded Moving Objects,2016,38,Poster
End-to-End Learning of Action Detection from Frame Glimpses in Videos,2016,664,Poster
Action Recognition in Video Using Sparse Coding and Relative Features,2016,35,Poster
Improving Human Action Recognition by Non-action Classification,2016,39,Poster
Actionness Estimation Using Hybrid Fully Convolutional Networks,2016,111,Poster
Real-Time Action Recognition with Enhanced Motion Vector CNNs,2016,460,Poster
Laplacian Patch-Based Image Synthesis,2016,43,Poster
Rain Streak Removal Using Layer Priors,2016,763,Poster
Gradient-Domain Image Reconstruction Framework with Intensity-Range and Base-Structure Constraints,2016,52,Poster
Removing Clouds and Recovering Ground Observations in Satellite Image Sequences via Temporally Contiguous Robust Matrix Completion,2016,23,Poster
D3: Deep Dual-Domain Based Fast Restoration of JPEG-Compressed Images,2016,211,Poster
From Bows to Arrows: Rolling Shutter Rectification of Urban Scenes,2016,56,Poster
A Weighted Variational Model for Simultaneous Reflectance and Illumination Estimation,2016,773,Poster
Visualizing and Understanding Deep Texture Representations,2016,151,Poster
Robust Kernel Estimation with Outliers Handling for Image Deblurring,2016,97,Poster
Online Collaborative Learning for Open-Vocabulary Visual Classifiers,2016,49,Poster
Rethinking the Inception Architecture for Computer Vision,2016,27454,Poster
Cross Modal Distillation for Supervision Transfer,2016,519,Poster
Efficient Point Process Inference for Large-Scale Object Detection,2016,36,Poster
Weakly Supervised Deep Detection Networks,2016,793,Poster
BORDER: An Oriented Rectangles Approach to Texture-Less Object Recognition,2016,20,Poster
Active Image Segmentation Propagation,2016,216,Poster
Inside-Outside Net: Detecting Objects in Context with Skip Pooling and Recurrent Neural Networks,2016,1444,Poster
RIFD-CNN: Rotation-Invariant and Fisher Discriminative Convolutional Neural Networks for Object Detection,2016,181,Poster
Reinforcement Learning for Visual Object Detection,2016,179,Poster
Detecting Repeating Objects Using Patch Correlation Analysis,2016,5,Poster
Analyzing Classifiers: Fisher Vectors and Deep Neural Networks,2016,207,Poster
Learning Deep Features for Discriminative Localization,2016,8801,Poster
Seeing through the Human Reporting Bias: Visual Classifiers from Noisy Human-Centric Labels,2016,218,Poster
Learning Aligned Cross-Modal Representations from Weakly Aligned Data,2016,176,Poster
A Probabilistic Collaborative Representation Based Approach for Pattern Classification,2016,298,Poster
Learning Structured Inference Neural Networks with Label Relations,2016,147,Poster
Discriminative Multi-modal Feature Fusion for RGBD Indoor Scene Recognition,2016,116,Poster
Conditional Graphical Lasso for Multi-label Image Classification,2016,109,Poster
Region Ranking SVM for Image Classification,2016,31,Poster
Predicting Motivations of Actions by Leveraging Text,2016,44,Poster
BoxCars: 3D Boxes as CNN Input for Improved Fine-Grained Vehicle Recognition,2016,211,Poster
Highway Vehicle Counting in Compressed Domain,2016,29,Poster
Camera Calibration from Periodic Motion of a Pedestrian,2016,34,Poster
Dynamic Image Networks for Action Recognition,2016,651,Oral
Detecting Events and Key Actors in Multi-person Videos,2016,243,Oral
Regularizing Long Short Term Memory with 3D Human-Skeleton Sequences for Action Recognition,2016,175,Oral
Personalizing Human Video Pose Estimation,2016,110,Oral
End-to-End Learning of Deformable Mixture of Parts and Deep Convolutional Neural Networks for Human Pose Estimation,2016,305,Oral
Actor-Action Semantic Segmentation with Grouping Process Models,2016,44,Spotlight
Temporal Action Localization with Pyramid of Score Distribution Features,2016,217,Spotlight
Recognizing Activities of Daily Living with a Wrist-Mounted Camera,2016,59,Spotlight
Harnessing Object and Scene Semantics for Large-Scale Video Understanding,2016,104,Spotlight
Video-Story Composition via Plot Analysis,2016,20,Spotlight
Temporal Action Detection Using a Statistical Language Model,2016,239,Spotlight
Multi-scale Patch Aggregation (MPA) for Simultaneous Detection and Segmentation,2016,95,Oral
Instance-Aware Semantic Segmentation via Multi-task Network Cascades,2016,1528,Oral
ScribbleSup: Scribble-Supervised Convolutional Networks for Semantic Segmentation,2016,947,Oral
Feature Space Optimization for Semantic Video Segmentation,2016,225,Oral
Large-Scale Semantic 3D Reconstruction: An Adaptive Multi-resolution Model for Multi-class Volumetric Labeling,2016,104,Oral
Semantic Object Parsing with Local-Global Long Short-Term Memory,2016,199,Spotlight
Efficient Piecewise Training of Deep Structured Models for Semantic Segmentation,2016,1104,Spotlight
Learning Transferrable Knowledge for Semantic Segmentation with Deep Convolutional Neural Network,2016,197,Spotlight
The Cityscapes Dataset for Semantic Urban Scene Understanding,2016,10216,Spotlight
Gaussian Conditional Random Field Network for Semantic Segmentation,2016,176,Spotlight
The SYNTHIA Dataset: A Large Collection of Synthetic Images for Semantic Segmentation of Urban Scenes,2016,2098,Spotlight
Progressive Prioritized Multi-view Stereo,2016,33,Poster
WarpNet: Weakly Supervised Matching for Single-View Reconstruction,2016,166,Poster
What Sparse Light Field Coding Reveals about Scene Structure,2016,121,Poster
Online Reconstruction of Indoor Scenes from RGB-D Streams,2016,24,Poster
"Patches, Planes and Probabilities: A Non-Local Prior for Volumetric 3D Reconstruction",2016,31,Poster
Single Image Camera Calibration with Lenticular Arrays for Augmented Reality,2016,9,Poster
Augmented Blendshapes for Real-Time Simultaneous 3D Head Modeling and Facial Motion Capture,2016,31,Poster
Learned Binary Spectral Shape Descriptor for 3D Shape Correspondence,2016,28,Poster
Multiple Models Fitting as a Set Coverage Problem,2016,83,Poster
Piecewise-Planar 3D Approximation from Wide-Baseline Stereo,2016,15,Poster
Sparse to Dense 3D Reconstruction from Rolling Shutter Images,2016,32,Poster
Consistency of Silhouettes and Their Duals,2016,6,Poster
Rolling Shutter Absolute Pose Problem with Known Vertical Direction,2016,45,Poster
Uncertainty-Driven 6D Pose Estimation of Objects and Scenes from a Single RGB Image,2016,495,Poster
Multicamera Calibration from Visible and Mirrored Epipoles,2016,4,Poster
Joint Unsupervised Deformable Spatio-Temporal Alignment of Sequences,2016,4,Poster
Deep Region and Multi-label Learning for Facial Action Unit Detection,2016,344,Poster
Constrained Joint Cascade Regression Framework for Simultaneous Facial Action Unit Recognition and Facial Landmark Detection,2016,95,Poster
Unconstrained Face Alignment via Cascaded Compositional Learning,2016,201,Poster
Automated 3D Face Reconstruction from Multiple Images Using Quality Measures,2016,100,Poster
Occlusion-Free Face Alignment: Deep Regression Networks Coupled with De-Corrupt AutoEncoders,2016,117,Poster
Multimodal Spontaneous Emotion Corpus for Human Behavior Analysis,2016,355,Poster
Learning Reconstruction-Based Remote Gaze Estimation,2016,9,Poster
Joint Training of Cascaded CNN for Face Detection,2016,254,Poster
Facial Expression Intensity Estimation Using Ordinal Information,2016,109,Poster
Proposal Flow,2016,147,Poster
ProNet: Learning to Propose Object-Specific Boxes for Cascaded Neural Networks,2016,69,Poster
Seeing Behind the Camera: Identifying the Authorship of a Photograph,2016,33,Poster
Material Classification Using Raw Time-of-Flight Measurements,2016,57,Poster
Weakly Supervised Object Localization with Progressive Domain Adaptation,2016,225,Poster
Newtonian Image Understanding: Unfolding the Dynamics of Objects in Static Images,2016,167,Poster
Identifying Good Training Data for Self-Supervised Free Space Estimation,2016,10,Poster
Learning to Match Aerial Images with Deep Attentive Architectures,2016,85,Poster
Track and Transfer: Watching Videos to Simulate Strong Human Supervision for Weakly-Supervised Object Detection,2016,71,Poster
DeepCAMP: Deep Convolutional Action &amp; Attribute Mid-Level Patterns,2016,52,Poster
Canny Text Detector: Fast and Robust Scene Text Localization Algorithm,2016,142,Poster
Temporal Multimodal Learning in Audiovisual Speech Recognition,2016,108,Poster
Recovering 6D Object Pose and Predicting Next-Best-View in the Crowd,2016,217,Poster
Robust 3D Hand Pose Estimation in Single Depth Images: From Single-View CNN to Multi-View CNNs,2016,317,Poster
Semantic Segmentation with Boundary Neural Fields,2016,197,Poster
HD Maps: Fine-Grained Road Segmentation by Parsing Ground and Aerial Images,2016,148,Poster
DAG-Recurrent Neural Networks for Scene Labeling,2016,184,Poster
Saliency Guided Dictionary Learning for Weakly-Supervised Image Parsing,2016,37,Poster
Attention to Scale: Scale-Aware Semantic Image Segmentation,2016,1454,Poster
Scene Labeling Using Sparse Precision Matrix,2016,23,Poster
Iterative Instance Segmentation,2016,170,Poster
Recurrent Attentional Networks for Saliency Detection,2016,275,Poster
Instance-Level Video Segmentation from Object Tracks,2016,45,Poster
Semantic Instance Annotation of Street Scenes by 3D to 2D Label Transfer,2016,186,Poster
Amplitude Modulated Video Camera - Light Separation in Dynamic Scenes,2016,13,Poster
A Benchmark Dataset and Evaluation for Non-Lambertian and Uncalibrated Photometric Stereo,2016,248,Poster
Depth from Semi-Calibrated Stereo and Defocus,2016,24,Poster
Exploiting Spectral-Spatial Correlation for Coded Hyperspectral Image Restoration,2016,78,Poster
Variable Aperture Light Field Photography: Overcoming the Diffraction-Limited Spatio-Angular Resolution Tradeoff,2016,16,Poster
Convolutional Networks for Shape from Light Field,2016,120,Poster
Panoramic Stereo Videos with a Single Camera,2016,33,Poster
The Next Best Underwater View,2016,62,Poster
Reconstructing Shapes and Appearances of Thin Film Objects Using RGB Images,2016,7,Poster
Noisy Label Recovery for Shadow Detection in Unfamiliar Domains,2016,43,Poster
Deep Hand: How to Train a CNN on 1 Million Hand Images When Your Data is Continuous and Weakly Labelled,2016,302,Oral
Recognizing Car Fluents from Video,2016,20,Oral
Pairwise Decomposition of Image Sequences for Active Multi-view Recognition,2016,258,Oral
Inferring Forces and Learning Human Utilities from Videos,2016,93,Oral
Force from Motion: Decoding Physical Sensation in a First Person Video,2016,21,Oral
Robust Multi-Body Feature Tracker: A Segmentation-Free Approach,2016,17,Spotlight
Slow and Steady Feature Analysis: Higher Order Temporal Coherence in Video,2016,151,Spotlight
Volumetric 3D Tracking by Detection,2016,35,Spotlight
The Solution Path Algorithm for Identity-Aware Multi-object Tracking,2016,47,Spotlight
In Defense of Sparse Tracking: Circulant Sparse Tracker,2016,154,Spotlight
Optical Flow with Semantic Segmentation and Localized Layers,2016,212,Spotlight
Video Segmentation via Object Flow,2016,391,Spotlight
Closed-Form Training of Mahalanobis Distance for Supervised Clustering,2016,26,Oral
Scalable Sparse Subspace Clustering by Orthogonal Matching Pursuit,2016,393,Oral
Oracle Based Active Set Algorithm for Scalable Elastic Net Subspace Clustering,2016,256,Oral
Sparse Coding and Dictionary Learning with Linear Dynamical Systems,2016,36,Oral
Sublabel-Accurate Relaxation of Nonconvex Energies,2016,48,Oral
The Multiverse Loss for Robust Transfer Learning,2016,31,Spotlight
Learning from the Mistakes of Others: Matching Errors in Cross-Dataset Learning,2016,14,Spotlight
An Efficient Exact-PGA Algorithm for Constant Curvature Manifolds,2016,18,Spotlight
Online Learning with Bayesian Classification Trees,2016,5,Spotlight
Cross-Stitch Networks for Multi-task Learning,2016,1216,Spotlight
Deep Metric Learning via Lifted Structured Feature Embedding,2016,1667,Spotlight
Fast Algorithms for Convolutional Neural Networks,2016,995,Spotlight
Coordinating Multiple Disparity Proposals for Stereo Computation,2016,29,Poster
Joint Multiview Segmentation and Localization of RGB-D Images Using Depth-Induced Silhouette Consistency,2016,7,Poster
"A Large Dataset to Train Convolutional Networks for Disparity, Optical Flow, and Scene Flow Estimation",2016,2396,Poster
6D Dynamic Camera Relocalization from Single Reference Image,2016,16,Poster
Dense Monocular Depth Estimation in Complex Dynamic Scenes,2016,198,Poster
Using Self-Contradiction to Learn Confidence Measures in Stereo Vision,2016,39,Poster
Understanding RealWorld Indoor Scenes with Synthetic Data,2016,412,Poster
Stereo Matching with Color and Monochrome Cameras in Low-Light Conditions,2016,45,Poster
Camera Calibration from Dynamic Silhouettes Using Motion Barcodes,2016,26,Poster
Structure-from-Motion Revisited,2016,3632,Poster
Constructing Canonical Regions for Fast and Effective View Selection,2016,7,Poster
Prior-Less Compressible Structure from Motion,2016,50,Poster
Rolling Shutter Camera Relative Pose: Generalized Epipolar Geometry,2016,72,Poster
Structure from Motion with Objects,2016,52,Poster
DeepHand: Robust Hand Pose Estimation by Completing a Matrix Imputed with Deep Features,2016,198,Poster
Multi-oriented Text Detection with Fully Convolutional Networks,2016,639,Poster
Robust Scene Text Recognition with Automatic Rectification,2016,633,Poster
Mnemonic Descent Method: A Recurrent Process Applied for End-to-End Face Alignment,2016,410,Poster
Large-Pose Face Alignment via CNN-Based Dense 3D Model Fitting,2016,364,Poster
Adaptive 3D Face Reconstruction from Unconstrained Photo Collections,2016,204,Poster
Online Detection and Classification of Dynamic Hand Gestures with Recurrent 3D Convolutional Neural Networks,2016,33,Poster
Kinematic Structure Correspondences via Hypergraph Matching,2016,17,Poster
CP-mtML: Coupled Projection Multi-Task Metric Learning for Large Scale Face Retrieval,2016,56,Poster
PatchBatch: A Batch Augmented Loss for Optical Flow,2016,112,Poster
Joint Recovery of Dense Correspondence and Cosegmentation in Two Images,2016,117,Poster
Multi-view People Tracking via Hierarchical Trajectory Composition,2016,135,Poster
Object Tracking via Dual Linear Structured SVM and Explicit Feature Map,2016,283,Poster
"Robust, Real-Time 3D Tracking of Multiple Objects with Similar Appearances",2016,22,Poster
An Egocentric Look at Video Photographer Identity,2016,40,Poster
Learning Multi-domain Convolutional Neural Networks for Visual Tracking,2016,2833,Poster
Hedged Deep Tracking,2016,828,Poster
Structural Correlation Filter for Robust Visual Tracking,2016,193,Poster
Visual Tracking Using Attention-Modulated Disintegration and Integration,2016,204,Poster
A Continuous Occlusion Model for Road Scene Understanding,2016,36,Poster
VirtualWorlds as Proxy for Multi-object Tracking Analysis,2016,1193,Poster
Uncalibrated Photometric Stereo by Stepwise Optimization Using Principal Components of Isotropic BRDFs,2016,10,Poster
Unbiased Photometric Stereo for Colored Surfaces: A Variational Approach,2016,49,Poster
3D Reconstruction of Transparent Objects with Position-Normal Consistency,2016,44,Poster
Real-Time Depth Refinement for Specular Objects,2016,24,Poster
Recovering Transparent Shape from Time-of-Flight Distortion,2016,48,Poster
Robust Light Field Depth Estimation for Noisy Scene with Occlusion,2016,111,Poster
Rotational Crossed-Slit Light Fields,2016,7,Poster
Single Image Object Modeling Based on BRDF and r-Surfaces Learning,2016,3,Poster
A Nonlinear Regression Technique for Manifold Valued Data with Applications to Medical Image Analysis,2016,43,Poster
RAID-G: Robust Estimation of Approximate Infinite Dimensional Gaussian with Application to Material Recognition,2016,70,Poster
An Empirical Evaluation of Current Convolutional Architectures' Ability to Manage Nuisance Location and Scale Variability,2016,15,Poster
"Learning Sparse High Dimensional Filters: Image Filtering, Dense CRFs and Bilateral Neural Networks",2016,216,Poster
Mixture of Bilateral-Projection Two-Dimensional Probabilistic Principal Component Analysis,2016,5,Poster
Rolling Rotations for Recognizing Human Actions from 3D Skeletal Data,2016,212,Poster
Improving the Robustness of Deep Neural Networks via Stability Training,2016,633,Poster
Logistic Boosting Regression for Label Distribution Learning,2016,67,Poster
Efficient Temporal Sequence Comparison and Classification Using Gram Matrix Embeddings on a Riemannian Manifold,2016,100,Poster
Deep Reflectance Maps,2016,117,Poster
Semantic Filtering,2016,44,Poster
UAVSensor Fusion with Latent-Dynamic Conditional Random Fields in Coronal Plane Estimation,2016,11,Poster
Robust Visual Place Recognition with Graph Kernels,2016,58,Poster
Semantic Image Segmentation with Task-Specific Edge Detection Using CNNs and a Discriminatively Trained Domain Transform,2016,390,Poster
Natural Language Object Retrieval,2016,565,Oral
DenseCap: Fully Convolutional Localization Networks for Dense Captioning,2016,1267,Oral
Unsupervised Learning from Narrated Instruction Videos,2016,304,Oral
Video Paragraph Captioning Using Hierarchical Recurrent Neural Networks,2016,668,Oral
Jointly Modeling Embedding and Translation to Bridge Video and Language,2016,644,Oral
We are Humor Beings: Understanding and Predicting Visual Humor,2016,52,Spotlight
Where to Look: Focus Regions for Visual Question Answering,2016,524,Spotlight
Ask Me Anything: Free-Form Visual Question Answering Based on Knowledge from External Sources,2016,408,Spotlight
MovieQA: Understanding Stories in Movies through Question-Answering,2016,674,Spotlight
TGIF: A New Dataset and Benchmark on Animated GIF Description,2016,220,Spotlight
Image Captioning with Semantic Attention,2016,1851,Spotlight
Temporally Coherent 4D Reconstruction of Complex Dynamic Scenes,2016,81,Oral
Consensus of Non-rigid Reconstructions,2016,44,Oral
Isometric Non-rigid Shape-from-Motion in Linear Time,2016,26,Oral
Learning Online Smooth Predictors for Realtime Camera Planning Using Recurrent Decision Trees,2016,58,Oral
Egocentric Future Localization,2016,107,Oral
Full Flow: Optical Flow Estimation By Global Optimization over Regular Grids,2016,201,Oral
Structured Feature Learning for Pose Estimation,2016,297,Spotlight
Convolutional Pose Machines,2016,3208,Spotlight
Human Pose Estimation with Iterative Error Feedback,2016,858,Spotlight
WELDON: Weakly Supervised Learning of Deep Convolutional Neural Networks,2016,193,Poster
DisturbLabel: Regularizing CNN on the Loss Layer,2016,275,Poster
Gradual DropIn of Layers to Train Very Deep Neural Networks,2016,30,Poster
Structure Inference Machines: Recurrent Neural Networks for Analyzing Relations in Group Activity Recognition,2016,265,Poster
Deep SimNets,2016,51,Poster
Studying Very Low Resolution Recognition Using Deep Networks,2016,249,Poster
Deep Gaussian Conditional Random Field Network: A Model-Based Deep Network for Discriminative Denoising,2016,78,Poster
Event-Specific Image Importance,2016,38,Poster
Quantized Convolutional Neural Networks for Mobile Devices,2016,1223,Poster
Inverting Visual Representations with Convolutional Networks,2016,659,Poster
Pose-Aware Face Recognition in the Wild,2016,302,Poster
Multi-view Deep Network for Cross-View Classification,2016,182,Poster
Sparsifying Neural Network Connections for Face Recognition,2016,161,Poster
Pairwise Linear Regression Classification for Image Set Retrieval,2016,59,Poster
The MegaFace Benchmark: 1 Million Faces for Recognition at Scale,2016,914,Poster
Learnt Quasi-Transitive Similarity for Retrieval from Large Collections of Faces,2016,10,Poster
Latent Factor Guided Convolutional Neural Networks for Age-Invariant Face Recognition,2016,178,Poster
Copula Ordinal Regression for Joint Estimation of Facial Action Unit Intensity,2016,63,Poster
A Robust Multilinear Model Learning Framework for 3D Faces,2016,34,Poster
